Player,Pos,Age,Tm_x,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary
Aaron Gordon,PF,26,DEN,70,70,31.4,5.7,11.1,.512,1.1,3.4,.316,4.6,7.7,.599,.561,2.3,3.1,.740,1.7,4.0,5.7,2.5,0.6,0.6,1.7,2.0,14.7,15.1,.591,.306,.277,6.3,13.8,10.2,11.7,1.0,1.7,12.3,19.9,2.8,1.9,4.7,.103,0.3,-1.1,-0.8,0.7,"$16,409,091"
Aaron Holiday,PG,25,TOT,58,14,16.4,2.5,5.3,.468,0.6,1.6,.396,1.9,3.7,.498,.526,0.9,1.0,.862,0.3,1.6,1.9,2.4,0.7,0.2,1.1,1.4,6.4,13.2,.561,.295,.188,2.3,10.2,6.4,20.8,2.1,0.8,15.5,18.3,0.7,0.9,1.6,.079,-1.6,0.4,-1.2,0.2,"$3,980,551"
Aaron Nesmith,SF,22,BOS,48,3,11.1,1.3,3.5,.386,0.5,2.1,.248,0.8,1.4,.600,.461,0.4,0.5,.792,0.3,1.5,1.8,0.4,0.4,0.1,0.5,1.3,3.6,7.0,.487,.608,.145,3.1,13.8,8.6,5.3,1.7,0.9,12.8,16.8,-0.4,0.8,0.4,.034,-5.1,0.7,-4.4,-0.3,"$3,631,200"
Aaron Wiggins,SG,23,OKC,47,32,23.9,3.0,6.6,.463,0.9,2.7,.313,2.2,3.9,.569,.528,1.1,1.5,.746,1.1,2.4,3.5,1.3,0.6,0.2,1.0,1.9,8.1,10.4,.557,.414,.230,4.5,10.6,7.5,8.0,1.3,0.8,12.1,14.9,0.5,0.8,1.3,.055,-3.3,-0.7,-4.1,-0.6,"$1,000,000"
Abdel Nader,SF,28,PHO,14,0,10.4,0.9,2.5,.343,0.3,1.0,.286,0.6,1.5,.381,.400,0.4,0.7,.600,0.3,1.6,1.9,0.5,0.6,0.3,0.8,1.4,2.4,4.9,.431,.400,.286,3.1,16.5,10.0,5.8,2.7,2.4,21.8,15.0,-0.3,0.3,0.0,-0.008,-7.0,2.2,-4.8,-0.1,"$2,000,000"
Al Horford,C,35,BOS,64,64,29.0,3.8,8.3,.452,1.3,3.9,.323,2.5,4.4,.568,.528,1.2,1.4,.837,1.5,6.0,7.5,3.3,0.7,1.4,1.0,1.9,10.0,16.2,.558,.473,.173,5.7,21.9,14.0,16.3,1.2,4.3,9.8,15.1,3.1,3.5,6.6,.170,1.1,2.7,3.8,2.7,"$27,000,000"
Alec Burks,SG,30,NYK,75,38,28.1,3.5,8.9,.390,1.9,4.7,.398,1.6,4.2,.381,.495,2.7,3.3,.824,0.6,4.2,4.7,2.8,1.1,0.3,1.0,2.5,11.5,14.0,.556,.528,.367,2.1,16.3,9.1,15.4,1.9,1.1,8.8,17.7,3.1,2.5,5.7,.129,-0.2,1.2,1.0,1.6,"$9,536,000"
Aleksej Pokusevski,PF,20,OKC,59,10,19.8,3.0,7.3,.406,0.8,3.1,.272,2.1,4.2,.506,.464,0.6,0.8,.708,1.2,3.9,5.2,1.9,0.6,0.6,1.4,1.4,7.4,11.9,.480,.427,.111,6.2,20.6,13.3,14.8,1.6,3.0,15.8,19.9,-1.1,1.4,0.4,.015,-2.9,0.0,-2.9,-0.3,"$3,113,160"
Alex Caruso,SG,27,CHI,37,14,28.1,2.6,6.4,.414,1.1,3.1,.357,1.5,3.3,.467,.500,1.6,2.0,.795,0.8,2.9,3.7,3.8,1.8,0.4,1.5,2.6,8.0,12.3,.548,.485,.308,3.2,11.4,7.3,17.6,3.1,1.2,17.0,13.7,0.7,1.2,2.0,.091,-1.9,2.5,0.6,0.7,"$8,604,651"
Alex Len,C,28,SAC,37,10,16.6,2.5,4.7,.534,0.2,0.6,.286,2.4,4.1,.569,.552,1.1,1.7,.651,1.4,2.9,4.3,1.2,0.4,0.7,1.2,2.6,6.3,13.3,.578,.121,.362,8.9,19.6,14.2,10.7,1.0,3.5,17.6,17.1,0.4,0.5,0.9,.070,-3.0,0.2,-2.8,-0.1,"$3,731,707"
